k,d,Weights,precision None,recall None,f-score_macro,f1_score_micro,f1_score_weighted
1,1,uniform,0.9565217391304348,0.7857142857142857,0.8399626517273576,0.8478260869565218,0.8493727925952989
1,1,distance,0.9565217391304348,0.7857142857142857,0.8399626517273576,0.8478260869565218,0.8493727925952989
1,2,uniform,1.0,0.7857142857142857,0.8647619047619047,0.8695652173913043,0.871055900621118
1,2,distance,1.0,0.7857142857142857,0.8647619047619047,0.8695652173913043,0.871055900621118
3,1,uniform,0.96,0.8571428571428571,0.882588546838795,0.8913043478260869,0.8921182159664953
3,1,distance,0.96,0.8571428571428571,0.882588546838795,0.8913043478260869,0.8921182159664953
3,2,uniform,1.0,0.8928571428571429,0.930254882489242,0.9347826086956522,0.9356828288933984
3,2,distance,1.0,0.8928571428571429,0.930254882489242,0.9347826086956522,0.9356828288933984
5,1,uniform,0.92,0.8214285714285714,0.8395727263651791,0.8478260869565218,0.85128325325208
5,1,distance,0.9230769230769232,0.8571428571428571,0.8592592592592592,0.8695652173913043,0.8714975845410627
5,2,uniform,0.9629629629629628,0.9285714285714286,0.927237285132022,0.9347826086956522,0.9347618057000208
5,2,distance,0.9642857142857143,0.9642857142857143,0.9509435353088603,0.9565217391304348,0.9564544353210391
